nome,renda,idade,etnia,sexo,casapropria,outrasrendas,estadocivil,escolaridade,default
"Simon, Rodriguez",4472.190323247432,42.03603083719228,0,0,1,0,0,3,0
"Daniel, Castro",4592.77431186845,48.23066229574363,1,0,1,0,1,2,0
"Myhue, Lin",2486.538807306123,56.881709387467794,0,1,0,0,0,0,1
"Destiny, Richardson-Pacheco",2852.3401168596342,51.68402131276117,1,1,0,0,0,2,1
"Brittany, Cohen-Wilson",4703.782811945571,50.72907816841617,1,1,1,0,1,2,0
"Destiny, Sparks",3707.252088698112,18.03416932339329,1,1,0,0,1,1,1
"Kristen, Shimizu",3761.422132652643,50.640703038904284,1,1,0,1,0,1,1
"Llulivia, Dominguez Lujan",3560.9402908870247,27.26866764352767,1,1,0,0,0,3,1
"Awda, el-Ayub",2739.1558796730155,29.632350426570376,1,1,0,0,0,1,1
"Steven, Bufano",4798.0929006723745,49.42424791007346,0,0,1,1,1,2,0
"Aaron, Tannahill",3168.522144792545,38.77866306845723,0,0,1,1,1,3,0
"Tina, Mulvany",4011.50111342375,46.20968610699658,0,1,1,1,1,1,0
"Annalyse, Bender",2735.096729995332,37.77734480245694,0,1,0,0,1,1,1
"Tai, Nguyen",3210.165834446419,24.53364253918229,1,1,1,0,0,2,0
"Camron, Pierson",3144.9542315229705,37.83179448683801,1,0,0,1,0,1,1
"Andr`E, Stevenson",4122.843009170027,43.97176785357312,0,0,0,1,0,2,0
"Tasneem, al-Masood",3398.9576777071297,25.60465869389737,1,1,0,0,0,1,1
"Heres, Patel",2450.0486071328996,57.38977415773917,1,1,0,0,1,1,1
"Shaqeeq, el-Saleh",3662.559324814693,27.945898639784087,0,0,1,0,1,3,0
"Taaha, el-Shams",3218.972586555417,20.30620939083928,0,0,0,0,0,2,1
"Marielle, Barbour",1647.5809757468955,60.250748499148564,1,1,1,0,1,0,1
"Samantha, Brady",4191.529741462031,52.435158952432566,0,1,0,0,0,1,0
"Yahya, el-Mussa",3425.3863890055354,46.05414333347895,1,0,0,0,0,0,1
"Timothy, Banchongchith",4090.8912923494536,35.812361622494116,0,0,1,0,0,2,0
"Farhat, el-Siddiqi",3355.364486419486,29.837134105051028,0,1,0,0,1,2,0
"Bianca, Gomez",4807.050249781699,38.93887022694418,1,1,0,0,0,2,0
"Siraaj, al-Soliman",4466.627556834357,45.372100156320236,0,0,1,0,0,0,0
"Sterling, Bannec",3613.1695887755077,36.03895799645237,1,0,0,0,1,2,0
"Kelsey, Cooper",3674.59210030602,33.24612340305158,1,1,1,0,1,3,1
"Ismaeel, el-Ben",3200.3444428351527,35.36632956672023,1,0,1,0,0,2,0
"Tevin, Ball",3986.4763618658994,51.15198143597303,0,0,0,0,0,2,0
"Jaleela, al-Pasha",3370.45797074828,41.38733337269956,0,1,0,0,0,2,1
"Manuel, Cordova",4118.911545010245,35.650544388310266,0,0,0,0,1,3,0
"Miguel, Garcia",3023.031453841869,39.77351071467163,0,0,1,0,0,2,0
"Mahbooba, el-Aydin",2439.6932998215666,33.69508158693865,1,1,0,0,0,2,1
"Rida, al-Moustafa",3238.2635391229596,26.35929841255538,1,0,0,0,1,1,1
"Ikra, Tolbert Jr",2234.8288840135015,32.52160826919171,0,1,0,0,0,2,1
"Yaphet, Rorex",4555.1136654594075,48.40179016100014,1,0,1,0,1,2,0
"Ariana, Clark",3645.099372048772,24.213838944281143,0,1,0,0,0,2,1
"Nou, Miley",5053.036139046057,39.15376486827697,0,1,1,1,0,3,0
"Celina, Fresquez",3721.1952185232303,49.03466471335585,0,1,0,0,0,2,1
"Abdul Baari, el-Samaan",2836.5518399435864,20.633562847040594,0,0,1,0,1,2,1
"Mazeeda, al-Hasan",3818.3519744548753,39.253560732170996,1,1,0,0,1,1,1
"Subhi, al-Amber",2943.8356885471258,55.23651590239243,1,0,1,0,1,2,1
"James, Keenan",3836.625045060897,47.30537053268486,1,0,1,0,1,2,0
"Jennifer, Lamczyk",2810.083282727689,31.457972660430432,0,1,0,0,0,2,1
"Byron, Gleitz",4358.170198982252,25.122990285512397,0,0,1,0,1,2,0
"Awni, el-Elbaz",4796.37057751066,38.80989839408171,1,0,1,0,1,3,0
"Koi, Craig-Varela",3186.0869650887216,45.74733041665064,1,0,0,0,0,2,1
"Emma, Malik",2052.444435581986,37.30627161277208,1,1,0,1,0,0,1
"Quianah, Acosta",3386.8026719122363,54.87457005670406,1,1,0,1,1,1,0
"Jose, Lozano",3328.1347123613036,28.438319792640332,1,0,1,0,1,3,1
"Zachery, Madden",3442.6594770854344,56.365594402319495,0,0,1,0,1,1,0
"Gerom Angelo, Alzamily",4394.183502170584,52.32072055126838,0,0,1,0,0,3,0
"Ricardo, Valdez",3881.7282259324347,32.11894468963249,1,0,1,1,1,3,0
"Osue, Moline",3327.257901971473,39.207349464216,0,0,1,0,1,2,0
"Abigail, Reed",3189.983150914142,30.52975767375886,0,1,1,0,0,2,0
"Jordan, Parsons",4344.894252558649,44.38909102330028,0,1,1,0,1,2,0
"Nechelle, Sanders",2963.8440726718673,36.84960293179439,0,1,0,0,0,1,1
"Jermaine, Wilson",4040.683408305132,46.02199770410074,1,0,1,0,1,1,0
"Shaqeeq, al-Sahli",3789.2392330858315,22.54429003198821,1,0,1,0,0,3,1
"Sean, Major",2980.3556142776943,46.10772327935556,0,0,1,0,1,2,0
"Markus, Westwood",3800.787235389972,28.66198708702866,1,0,1,0,1,2,0
"Alexandria, Keelick",4176.603813152889,41.75021116938725,1,1,1,0,0,2,0
"Uwais, al-Mahdavi",2688.0616978382254,21.738641788263262,1,0,1,0,0,2,1
"Khaleefa, al-Hosseini",5116.258188344645,20.728995208628476,1,0,1,0,1,2,0
"Cyrill, Williamson",4495.231432832478,38.144453646458146,1,0,1,0,0,1,0
"Sheneice, Kiefer",1812.219375306458,38.86491156226392,1,1,0,0,1,2,1
"Aubrianna, Lansing",4134.370177268345,56.47520953339653,0,1,1,1,0,1,0
"Christian, Loughridge",2290.7878708776357,30.158192078499543,0,0,1,1,1,2,1
"Christopher, Bailey",4139.6985398922625,32.63053946976622,0,0,1,0,1,3,0
"Alycia, Villanueva",3055.0537110439036,19.277300582407396,1,1,0,0,0,2,1
"Arial, Mier Guerrero",3311.2156059879326,20.702118219743447,0,1,1,0,0,1,0
"Hope, Davis",4295.00931092005,35.04494784623767,1,1,0,0,1,2,0
"Aaron, Negrete Perez",3237.0590950017477,37.79276863693798,0,0,0,0,0,3,0
"Monica, Meyers",2414.8647185213777,34.01610253168471,0,1,0,0,0,1,1
"Derantae, Mayo",4045.312637979989,32.42940751224879,1,0,1,0,0,1,1
"Hope, Mc Milleon",2982.7264599081836,19.611830814741552,0,1,1,0,0,1,0
"Leanna, Kim",2250.592483146177,48.06498504057851,1,1,0,1,1,2,1
"Hamda, el-Shareef",3166.2389151974503,19.914969943463802,1,1,0,0,1,1,1
"Vanessa, Langston",4183.922616164933,36.68234338857509,0,1,1,0,1,2,0
"Andrew, Teets",2397.586662107985,40.62347904418958,1,0,0,0,0,2,1
"Coby, Arevalo-Armendariz",3307.562325279505,24.11222895159366,1,0,1,0,1,1,0
"Pedro, Mancilla Hernandez",3076.3134266760308,41.080112808021546,1,0,0,1,0,1,0
"Razeena, el-Sheikh",3468.8303504485934,47.81960982683921,1,1,0,0,1,1,1
"David, Lynch",3652.7087574388033,39.748337136748596,0,0,1,0,1,2,0
"Lathan, Harrison",3187.912949309885,31.051126803242862,0,0,0,0,1,2,1
"Arwa, al-Lone",4126.413071290372,49.0171599291289,1,1,1,0,0,2,0
"Amaanullah, el-Bagheri",4218.266408437644,38.15377266200593,1,0,1,1,1,3,0
"Kamaaluddeen, al-Kaiser",4323.228606396548,33.49934194888808,0,0,1,0,1,1,0
"Raymond, Macias Guerra",4137.357936469857,29.039136219458793,1,0,1,0,1,2,0
"Jeremy, Lee",3760.4905626122295,34.88308724709654,1,0,1,0,1,2,0
"April, Arnold",2412.5105328339846,43.31595909013958,1,1,0,0,0,0,1
"Derek, Martin",2191.0091067287894,25.451815012471258,1,0,0,0,1,2,1
"Simonita, Castillo",1669.3283055857935,35.66331189551891,1,1,0,1,0,0,1
"Shanelle, Martinez",2689.605142565562,40.09389915252485,0,1,0,0,0,3,1
"Keifer, Whitelance III",3746.173651567384,62.40189973814397,1,0,0,0,0,3,0
"Sharden, James",3872.8786301061655,52.60050571720952,1,0,1,1,1,2,0
"Vincent, Cooper",2131.5736025863557,44.32323298680139,1,0,0,0,1,1,1
"Brooke, Rexford",3849.9707160017774,32.908836710685804,0,1,0,0,0,2,1
"Taaliba, el-Hammoud",3196.530502641408,41.42506570247511,1,1,0,0,0,2,1
"Yoonus, el-Sadiq",3944.0740620355505,44.72252847637865,0,0,1,1,1,2,0
"Alexa, Otwell",4683.568398700235,40.68707054413278,0,1,1,0,1,2,0
"Shahaama, el-Kazmi",3578.632687155386,51.5185846874021,0,1,1,0,0,3,1
"Creg, Wade",2663.6787572130293,24.224099102086466,1,0,0,0,1,1,1
